# G,P S,G S,# P,gt,ht,phi,l_out,size,# Ep,B E,B E Ac,gt,ht,phi,l_out,phi_max,phi_min,Ac,Er
5,4x4,4,3,0,0,2,0,64,200,197,98.23%,0,0,2,0,2.8215,-0.4242,98.04%,1.96%
5,4x4,4,3,0,0,2,0,64,200,197,98.23%,0,1,2,0,2.8215,-0.4242,96.01%,3.99%
5,4x4,4,3,0,0,2,0,64,200,197,98.23%,0,2,2,0,2.8215,-0.4242,96.52%,3.48%
5,4x4,4,3,0,0,2,0,64,200,197,98.23%,0,4,2,0,2.8215,-0.4242,96.48%,3.52%
5,4x4,4,3,0,0,2,0,64,200,197,98.23%,0,6,2,0,2.8215,-0.4242,96.52%,3.48%
5,4x4,4,3,0,0,2,0,64,200,197,98.23%,0,8,2,0,2.8215,-0.4242,96.53%,3.47%
,,,,,,,,,,,,,,,,,,,
10,4x4,4,3,0,0,2,0,64,200,191,98.73%,0,0,2,0,2.8215,-0.4242,98.73%,1.27%
10,4x4,4,3,0,0,2,0,64,200,191,98.73%,0,1,2,0,2.8215,-0.4242,90.92%,9.08%
10,4x4,4,3,0,0,2,0,64,200,191,98.73%,0,2,2,0,2.8215,-0.4242,91.15%,8.85%
,,,,,,,,,,,,,,,,,,,
20,4x4,4,3,0,0,2,0,64,73,22,92.00%,0,0,2,0,2.8215,-0.4242,92.35%,7.65%
20,4x4,4,3,0,0,2,0,64,73,22,92.00%,0,1,2,0,2.8215,-0.4242,80.56%,19.44%
20,4x4,4,3,0,0,2,0,64,73,22,92.00%,0,2,2,0,2.8215,-0.4242,88.31%,11.69%
,,,,,,,,,,,,,,,,,,,
5,2x2,4,3,0,0,2,0,64,200,169,95.10%,0,0,2,0,2.8215,-0.4242,94.63%,5.37%
5,2x2,4,3,0,0,2,0,64,200,169,95.10%,0,1,2,0,2.8215,-0.4242,69.60%,30.40%
5,2x2,4,3,0,0,2,0,64,200,169,95.10%,0,2,2,0,2.8215,-0.4242,71.78%,28.22%
,,,,,,,,,,,,,,,,,,,
5,6x6,4,3,0,0,2,0,64,200,171,98.70%,0,0,2,0,2.8215,-0.4242,98.59%,1.41%
5,6x6,4,3,0,0,2,0,64,200,171,98.70%,0,1,2,0,2.8215,-0.4242,96.93%,3.07%
5,6x6,4,3,0,0,2,0,64,200,171,98.70%,0,2,2,0,2.8215,-0.4242,97.37%,2.63%
,,,,,,,,,,,,,,,,,,,
5,8x8,4,3,0,0,2,0,64,177,126,98.82%,0,0,2,0,2.8215,-0.4242,98.75%,1.25%
5,8x8,4,3,0,0,2,0,64,177,126,98.82%,0,1,2,0,2.8215,-0.4242,97.01%,2.99%
5,8x8,4,3,0,0,2,0,64,177,126,98.82%,0,2,2,0,2.8215,-0.4242,97.75%,2.25%
,,,,,,,,,,,,,,,,,,,
5,4x4,2,3,0,0,2,0,64,200,184,98.58%,0,0,2,0,2.8215,-0.4242,98.47%,1.53%
5,4x4,2,3,0,0,2,0,64,200,184,98.58%,0,1,2,0,2.8215,-0.4242,97.27%,2.73%
5,4x4,2,3,0,0,2,0,64,200,184,98.58%,0,2,2,0,2.8215,-0.4242,97.64%,2.36%
,,,,,,,,,,,,,,,,,,,
5,4x4,3,3,0,0,2,0,64,200,182,98.42%,0,0,2,0,2.8215,-0.4242,98.08%,1.92%
5,4x4,3,3,0,0,2,0,64,200,182,98.42%,0,1,2,0,2.8215,-0.4242,93.69%,6.31%
5,4x4,3,3,0,0,2,0,64,200,182,98.42%,0,2,2,0,2.8215,-0.4242,94.56%,5.44%
,,,,,,,,,,,,,,,,,,,
5,4x4,5,3,0,0,2,0,64,200,160,98.07%,0,0,2,0,2.8215,-0.4242,97.79%,2.21%
5,4x4,5,3,0,0,2,0,64,200,160,98.07%,0,1,2,0,2.8215,-0.4242,92.91%,7.09%
